environment_id,simplified_edge_id,u,v,network_length,straight_distance,circuity,source_fragment_count,source_shape_provenance
38,env38_simplified_edge_00056,env38_topology_location_0092,env38_topology_location_0141,126.45015224258502,126.44594443509993,1.0000332775203182,2,"[""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599""]"
38,env38_simplified_edge_00057,env38_topology_location_0103,env38_topology_location_0106,34.743126567261726,33.85455050296581,1.0262468723139029,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00058,env38_topology_location_0103,env38_topology_location_0108,45.8386627240515,45.57275744412007,1.0058347419564742,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00059,env38_topology_location_0103,env38_topology_location_0124,37.49725992221705,37.32934670938491,1.004498155677338,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00060,env38_topology_location_0106,env38_topology_location_0127,50.75530305691636,44.233268453687856,1.1474463640428711,4,"[""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337""]"
38,env38_simplified_edge_00061,env38_topology_location_0106,env38_topology_location_0116,63.180290619222305,61.44907949438279,1.0281731010307122,3,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00062,env38_topology_location_0108,env38_topology_location_0109,1.0776962174517681,1.0776962174518085,0.9999999999999625,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00063,env38_topology_location_0109,env38_topology_location_0124,41.67665603089947,41.31651842194426,1.0087165526697413,1,"[""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00064,env38_topology_location_0109,env38_topology_location_0137,76.31993266554773,73.48808051377843,1.0385348498963496,3,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00065,env38_topology_location_0111,env38_topology_location_0112,143.91238565526908,138.0934408871462,1.0421377346435903,3,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
